"ADC A,r","4","1","88+rb"
"ADC A,N","7","2","CE XX"
"ADC A,(HL)","7","1","8E"
"ADC A,(IX+N)","19","3","DD 8E XX"
"ADC A,(IY+N)","19","3","FD 8E XX"
"ADC HL,BC","15","2","ED 4A"
"ADC HL,DE","15","2","ED 5A"
"ADC HL,HL","15","2","ED 6A"
"ADC HL,SP","15","2","ED 7A"
"ADD A,r","4","1","80+rb"
"ADD A,N","7","2","C6 XX"
"ADD A,(HL)","7","1","86"
"ADD A,(IX+N)","19","3","DD 86 XX"
"ADD A,(IY+N)","19","3","FD 86 XX"
"ADD HL,BC","11","1","09"
"ADD HL,DE","11","1","19"
"ADD HL,HL","11","1","29"
"ADD HL,SP","11","1","39"
"ADD IX,BC","15","2","DD 09"
"ADD IX,DE","15","2","DD 19"
"ADD IX,IX","15","2","DD 29"
"ADD IX,SP","15","2","DD 39"
"ADD IY,BC","15","2","FD 09"
"ADD IY,DE","15","2","FD 19"
"ADD IY,IY","15","2","FD 29"
"ADD IY,SP","15","2","FD 39"
"AND r","4","1","A0+rb"
"AND N","7","2","E6 XX"
"AND (HL)","7","1","A6"
"AND (IX+N)","19","3","DD A6 XX"
"AND (IY+N)","19","3","FD A6 XX"
"BIT b,r","8","2","CB 40+8*b+rb"
"BIT b,(HL)","12","2","CB 46+8*b"
"BIT b,(IX+N)","20","4","DD CB XX 46+8*b"
"BIT b,(IY+N)","20","4","FD CB XX 46+8*b"
"CALL NN","17","3","CD XX XX"
"CALL C,NN","17/1","3","DC XX XX"
"CALL NC,NN","17/1","3","D4 XX XX"
"CALL M,NN","17/1","3","FC XX XX"
"CALL P,NN","17/1","3","F4 XX XX"
"CALL Z,NN","17/1","3","CC XX XX"
"CALL NZ,NN","17/1","3","C4 XX XX"
"CALL PE,NN","17/1","3","EC XX XX"
"CALL PO,NN","17/1","3","E4 XX XX"
"CCF","4","1","3F"
"CP r","4","1","B8+rb"
"CP N","7","2","FE XX"
"CP (HL)","7","1","BE"
"CP (IX+N)","19","3","DD BE XX"
"CP (IY+N)","19","3","FD BE XX"
"CPD","16","2","ED A9"
"CPDR","21/1","2","ED B9"
"CPI","16","2","ED A1"
"CPIR","21/1","2","ED B1"
"CPL","4","1","2F"
"DAA","4","1","27"
"DEC A","4","1","3D"
"DEC B","4","1","05"
"DEC C","4","1","0D"
"DEC D","4","1","15"
"DEC E","4","1","1D"
"DEC H","4","1","25"
"DEC L","4","1","2D"
"DEC (HL)","11","1","35"
"DEC (IX+N)","23","3","DD 35 XX"
"DEC (IY+N)","23","3","FD 35 XX"
"DEC BC","6","1","0B"
"DEC DE","6","1","1B"
"DEC HL","6","1","2B"
"DEC SP","6","1","3B"
"DEC IX","10","2","DD 2B"
"DEC IXH","10","2","DD 25"
"DEC IXL","10","2","DD 2D"
"DEC IY","10","2","FD 2B"
"DI","4","1","F3"
"DJNZ $+2","8/8","2","10"
"EI","4","1","FB"
"EX (SP),HL","19","1","E3"
"EX (SP),IX","23","2","DD E3"
"EX (SP),IY","23","2","FD E3"
"EX AF,AF'","4","1","08"
"EX DE,HL","4","1","EB"
"EXX","4","1","D9"
"HALT","4","1","76"
"IM 0","8","2","ED 46"
"IM 1","8","2","ED 56"
"IM 2","8","2","ED 5E"
"IN A,(N)","11","2","DB XX"
"IN (C)","12","2","ED 70"
"IN A,(C)","12","2","ED 78"
"IN B,(C)","12","2","ED 40"
"IN C,(C)","12","2","ED 48"
"IN D,(C)","12","2","ED 50"
"IN E,(C)","12","2","ED 58"
"IN H,(C)","12","2","ED 60"
"IN L,(C)","12","2","ED 68"
"INC A","4","1","3C"
"INC B","4","1","04"
"INC C","4","1","0C"
"INC D","4","1","14"
"INC E","4","1","1C"
"INC H","4","1","24"
"INC L","4","1","2C"
"INC BC","6","1","03"
"INC DE","6","1","13"
"INC HL","6","1","23"
"INC SP","6","1","33"
"INC IX","10","2","DD 23"
"INC IXH","10","2","DD 24"
"INC IXL","10","2","DD 2C"
"INC IY","10","2","FD 23"
"INC (HL)","11","1","34"
"INC (IX+N)","23","3","DD 34 XX"
"INC (IY+N)","23","3","FD 34 XX"
"IND","16","2","ED AA"
"INDR","21/1","2","ED BA"
"INI","16","2","ED A2"
"INIR","21/1","2","ED B2"
"JP $NN","10","3","C3 XX XX"
"JP (HL)","4","1","E9"
"JP (IX)","8","2","DD E9"
"JP (IY)","8","2","FD E9"
"JP C,$NN","10/1","3","DA XX XX"
"JP NC,$NN","10/1","3","D2 XX XX"
"JP M,$NN","10/1","3","FA XX XX"
"JP P,$NN","10/1","3","F2 XX XX"
"JP Z,$NN","10/1","3","CA XX XX"
"JP NZ,$NN","10/1","3","C2 XX XX"
"JP PE,$NN","10/1","3","EA XX XX"
"JP PO,$NN","10/1","3","E2 XX XX"
"JR $N+2","12","2","18 XX"
"JR C,$N+2","12/7","2","38 XX"
"JR NC,$N+2","12/7","2","30 XX"
"JR Z,$N+2","12/7","2","28 XX"
"JR NZ,$N+2","12/7","2","20 XX"
"LD I,A","9","2","ED 47"
"LD R,A","9","2","ED 4F"
"LD A,I","9","2","ED 57"
"LD A,R","9","2","ED 5F"
"LD A,r","4","1","78+rb"
"LD A,N","7","2","3E XX"
"LD A,(BC)","7","1","0A"
"LD A,(DE)","7","1","1A"
"LD A,(HL)","7","1","7E"
"LD A,(IX+N)","19","3","DD 7E XX"
"LD A,(IY+N)","19","3","FD 7E XX"
"LD A,(NN)","13","3","3A XX XX"
"LD B,r","4","1","40+rb"
"LD B,N","7","2","06 XX"
"LD B,(HL)","7","1","46"
"LD B,(IX+N)","19","3","DD 46 XX"
"LD B,(IY+N)","19","3","FD 46 XX"
"LD C,r","4","1","48+rb"
"LD C,N","7","2","0E XX"
"LD C,(HL)","7","1","4E"
"LD C,(IX+N)","19","3","DD 4E XX"
"LD C,(IY+N)","19","3","FD 4E XX"
"LD D,r","4","1","50+rb"
"LD D,N","7","2","16 XX"
"LD D,(HL)","7","1","56"
"LD D,(IX+N)","19","3","DD 56 XX"
"LD D,(IY+N)","19","3","FD 56 XX"
"LD E,r","4","1","58+rb"
"LD E,N","7","2","1E XX"
"LD E,(HL)","7","1","5E"
"LD E,(IX+N)","19","3","DD 5E XX"
"LD E,(IY+N)","19","3","FD 5E XX"
"LD H,r","4","1","60+rb"
"LD H,N","7","2","26 XX"
"LD H,(HL)","7","1","66"
"LD H,(IX+N)","19","3","DD 66 XX"
"LD H,(IY+N)","19","3","FD 66 XX"
"LD L,r","4","1","68+rb"
"LD L,N","7","2","2E XX"
"LD L,(HL)","7","1","6E"
"LD L,(IX+N)","19","3","DD 6E XX"
"LD L,(IY+N)","19","3","FD 6E XX"
"LD BC,(NN)","20","4","ED 4B XX XX"
"LD BC,NN","10","3","01 XX XX"
"LD DE,(NN)","20","4","ED 5B XX XX"
"LD DE,NN","10","3","11 XX XX"
"LD HL,(NN)","20","3","2A XX XX"
"LD HL,NN","10","3","21 XX XX"
"LD SP,(NN)","20","4","ED 7B XX XX"
"LD SP,HL","6","1","F9"
"LD SP,IX","10","2","DD F9"
"LD SP,IY","10","2","FD F9"
"LD SP,NN","10","3","31 XX XX"
"LD IX,(NN)","20","4","DD 2A XX XX"
